Wave number,Location,LAT,LON,Province,Korean Name,Date,Time,Source
Second Wave,"Imcheon-myeon, Buyeo-gun, Chungcheongnam-do",36.17341,126.88718,Chungcheongnam Province, 충남 부여군 임천면,"June 2, 2024",,https://news.kbs.co.kr/news/pc/view/view.do?ncd=7978167&ref=A
Second Wave,"Imsaeng-myeon, Cheonan-si, Chungcheongnam-do",36.80488,127.19431,Chungcheongnam Province,충남 천안시 입장면,"June 2, 2024",,https://news.kbs.co.kr/news/pc/view/view.do?ncd=7978167&ref=A
Second Wave,"Hongyang-ri, Socho-myeon, Wonju, Gangwon Province",37.38445597,128.0146215,Gangwon Province,강원 원주 소초면 홍양리 ,"June 2, 2024",,https://www.newspim.com/news/view/20240602000106
Second Wave,"Yanggu-gun, Gangwon Province",38.1096812,127.9900596,Gangwon Province,강원 양구군,"June 2, 2024",,https://www.yna.co.kr/view/PYH20240602008700062?input=1196m
Second Wave,"Suha-ri, Seoseok-myeon, Hongcheon-gun, Gangwon Province",37.7668069,128.1937951,Gangwon Province,강원 홍천군 서석면 수하리 ,"June 2, 2024",,https://www.newspim.com/news/view/20240602000106
Second Wave,"Oam-ri, Bomun-myeon, Yecheon-gun, Gyeongsangbuk-do",36.67437,128.55151,Gyeongsangbuk Province,경북도 예천군 보문면 오암리,"June 2, 2024",,https://www.dkilbo.com/news/articleView.html?idxno=445074
Second Wave,"Taegok-ri, Yean-myeon, Andong-si, Gyeongsangbuk-do",36.68187,128.9128,Gyeongsangbuk Province,경북 안동시 예안면 태곡리,"June 2, 2024",,https://www.dkilbo.com/news/articleView.html?idxno=445074
Second Wave,"Yanghang-ri, Ibam-myeon, Yeongyang-gun, Gyeongsangbuk-do",36.59338,129.08923,Gyeongsangbuk Province,영양군 입암면 양항리,"June 2, 2024",,https://www.dkilbo.com/news/articleView.html?idxno=445074
Second Wave,"Hwajin-ri, Pohang-si",36.2437,129.36813,Gyeongsangbuk Province,포항시 화진리,"June 2, 2024",,https://www.yeongnam.com/web/view.php?key=20240602010000060
Second Wave,"Dangpori, Mungyeong-si",36.58755,128.18624,Gyeongsangbuk Province,문경시 당포리,"June 2, 2024",,https://www.yeongnam.com/web/view.php?key=20240602010000060
